customer_id,first_name,email,loyalty_status,total_loyalty_points,segment_id,historic_annual_spend
CUST0001,Wanda,samuel87@example.org,Silver,3289,MS,3381.81
CUST0002,John,morganbrianna@example.org,Silver,3946,MS,4568.08
CUST0003,Brianna,jonescrystal@example.org,Gold,9488,HS,9459.14
CUST0004,Carlos,heathchad@example.org,Silver,2944,HS,2800.28
CUST0005,Joshua,ilewis@example.net,Gold,7271,LS,12658.14
CUST0006,Selena,esanchez@example.com,Bronze,244,HS,274.6
CUST0007,James,hopkinsmichael@example.com,Silver,1960,MS,2086.86
CUST0008,Stuart,nuneztracey@example.org,Gold,5660,HS,6383.74
CUST0009,Bruce,lauren13@example.org,Bronze,156,HS,706.42
CUST0010,James,ltaylor@example.com,Bronze,338,MS,542.61
CUST0011,Steven,ramosmichelle@example.net,Bronze,852,LS,420.14
CUST0012,Corey,novaksara@example.org,Gold,5160,LS,13567.32
CUST0013,Gabriel,zolson@example.org,Bronze,6,MS,942.74
CUST0014,Franklin,gallowayjoseph@example.com,Silver,4495,MS,4566.57
CUST0015,Justin,smoore@example.org,Silver,4009,LS,3184.53
CUST0016,Tanya,adkinsbrian@example.net,Gold,8999,MS,7194.22
CUST0017,Thomas,brianromero@example.org,Bronze,398,LS,336.13
CUST0018,Casey,leonardjoe@example.org,Silver,3966,MS,1660.18
CUST0019,Shelly,bethwilliams@example.org,Gold,9375,MS,5269.66
CUST0020,Robert,sarah35@example.org,Silver,3715,LS,1108.41
CUST0021,Joseph,emilyevans@example.com,Bronze,887,HS,461.7
CUST0022,Sarah,smithchristine@example.net,Bronze,335,MS,211.66
CUST0023,Wendy,medinawilliam@example.org,Bronze,900,MS,379.13
CUST0024,Sarah,suarezmike@example.org,Bronze,83,LS,470.31
CUST0025,Samuel,cheryl80@example.net,Silver,4899,LS,2399.84
CUST0026,Lisa,sarah12@example.com,Bronze,980,HS,651.75
CUST0027,Darrell,newtoneric@example.com,Gold,6633,LS,13392.29
CUST0028,Cassandra,james48@example.com,Bronze,129,HS,473.56
CUST0029,John,davisrodney@example.com,Silver,1892,MS,2860.14
CUST0030,Bradley,kellie42@example.net,Silver,1687,LS,3423.57
CUST0031,Scott,hhoffman@example.org,Silver,4185,MS,4277.2
CUST0032,Sierra,amydavenport@example.net,Bronze,26,LS,928.89
CUST0033,Angela,tanderson@example.com,Silver,4924,LS,2501.23
CUST0034,Rachel,nolanjason@example.org,Bronze,606,LS,690.61
CUST0035,Elizabeth,kimberly69@example.net,Bronze,713,LS,772.48
CUST0036,Eric,michellecherry@example.org,Silver,1495,LS,4184.91
CUST0037,Nicole,whitesandra@example.com,Silver,2422,LS,3130.98
CUST0038,Leah,josephcobb@example.org,Bronze,518,HS,647.54
CUST0039,Patrick,garrisonjeffrey@example.com,Gold,9015,MS,6055.39
CUST0040,Michael,jeffreykeller@example.com,Silver,4394,HS,2838.96
CUST0041,Mark,rasmussenjoshua@example.net,Bronze,751,LS,521.75
CUST0042,William,sheila14@example.org,Bronze,827,MS,919.62
CUST0043,Beverly,benjamin96@example.com,Bronze,845,MS,731.03
CUST0044,Jessica,samuel81@example.com,Bronze,251,HS,830.73
